name,url,createdAt,updatedAt
"Michael Smith, MD",https://www.doximity.com/cv/michael-smith-md-slash-78,2023-04-13T15:33:22.587Z,2023-04-13T15:33:22.587Z
"Michel Levesque, MD",https://www.doximity.com/cv/michel-levesque-md-slash-1,2023-04-13T15:33:22.587Z,2023-04-13T15:33:22.587Z
"Mohammed Khan, MD",https://www.doximity.com/cv/mohammed-faraz-khan-md-slash-1,2023-04-13T15:33:22.587Z,2023-04-13T15:33:22.587Z
"Mohana Rao Patibandla, MD",https://www.doximity.com/cv/mohana-rao-patibandla-mch,2023-04-13T15:33:22.587Z,2023-04-13T15:33:22.587Z
"Moses Jones, MD",https://www.doximity.com/cv/moses-jones-md-2,2023-04-13T15:33:22.587Z,2023-04-13T15:33:22.587Z
"Nassir Monim Mansour, MD",https://www.doximity.com/cv/nassir-monin-mansour-md-4,2023-04-13T15:33:22.588Z,2023-04-13T15:33:22.588Z
"Nazer Qureshi, MD",https://www.doximity.com/cv/nazer-qureshi-md-1,2023-04-13T15:33:23.179Z,2023-04-13T15:33:23.179Z
"Nduka Amankulor, MD",https://www.doximity.com/cv/nduka-amankulor-md-4,2023-04-13T15:33:23.179Z,2023-04-13T15:33:23.179Z
"Neal Naff, MD",https://www.doximity.com/cv/neal-naff-md-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"R. Nick Hernandez, MD",https://www.doximity.com/cv/nick-hernandez-md,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Noah Converse, MD",https://www.doximity.com/cv/noah-converse-do-3,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Oren Gottfried, MD",https://www.doximity.com/cv/oren-gottfried-md-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"P. David Adelson, MD",https://www.doximity.com/cv/p-adelson-md-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Parham Yashar, MD",https://www.doximity.com/cv/parham-yashar-md-facs,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Patrick Hsieh, MD",https://www.doximity.com/cv/patrick-hsieh-md-slash-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Patrick Pezeshkian, MD",https://www.doximity.com/cv/patrick-pezeshkian-md-slash-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Patrick Roth, MD",https://www.doximity.com/cv/patrick-roth-md-2,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Paul McCombs, MD",https://www.doximity.com/cv/paul-mccombs-md-3,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Peng Chen, MD",https://www.doximity.com/cv/peng-chen-md-slash-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Philip Stieg, MD",https://www.doximity.com/cv/philip-stieg-md-2,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Phillip Porcelli, MD",https://www.doximity.com/cv/phillip-porcelli-do-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Anton Wohl, MD",https://www.doximity.com/cv/pub-anton-wohl-md,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Qaisar Shah, MD",https://www.doximity.com/cv/qaisar-shah-md-1,2023-04-13T15:33:23.180Z,2023-04-13T15:33:23.180Z
"Robert Goldfarb, MD",https://www.doximity.com/cv/r-goldfarb-md,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Raj Shrivastava, MD",https://www.doximity.com/cv/raj-shrivastava-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Raj Thakrar, MD",https://www.doximity.com/cv/rajkthakrar,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Randy Jensen, MD",https://www.doximity.com/cv/randy-jensen-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Rashid Janjua, MD",https://www.doximity.com/cv/rashid-janjua-md-2,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Rebecca Stachniak, MD",https://www.doximity.com/cv/rebecca-stachniak-md,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Richard Zimmerman, MD",https://www.doximity.com/cv/richard-zimmerman-md-7,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ricky Madhok, MD",https://www.doximity.com/cv/ricky-madhok-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ricky Medel, MD",https://www.doximity.com/cv/ricky-medel-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Robert Bonow, MD",https://www.doximity.com/cv/robert-bonow-md-9b9b7ca1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
